Date,Description,Amount,Type,Account,Category,Vendor,Location,Notes
2025-09-01,OLD NAVY CA 4459 HALTON HILLS,-110.66,debit,Amex Credit Card,Shopping,Old Navy,Halton Hills,
2025-09-01,TOMMY HILFIGER TORONTO,-77.75,debit,Amex Credit Card,Shopping,Tommy Hilfiger,Toronto,
2025-09-02,MCDONALD'S #40589,-10.95,debit,RBC Credit Card,Food,McDonald's,Milton,
2025-09-02,MAIN & BRONTE PHARMACY,-4.50,debit,RBC Credit Card,Grocery,Main & Bronte Pharmacy,Milton,
2025-09-02,TIM HORTONS #8494,-8.67,debit,RBC Credit Card,Food,Tim Hortons,Milton,
2025-09-03,WALMART.CA,-88.96,debit,Amex Credit Card,Grocery,Walmart,Online,
2025-09-03,PETSMART INC. 3006,-53.08,debit,RBC Credit Card,Pet Care,PetSmart,Milton,
2025-09-03,QUALITY SUPERMARKET,-5.99,debit,RBC Credit Card,Grocery,Quality Supermarket,Milton,
2025-09-03,CHILDREN BELIEVE,-29.00,debit,RBC Credit Card,Donation,Children Believe,Markham,Monthly donation
2025-09-03,GOODLIFE CLUBS,-15.82,debit,RBC Debit,Fitness,GoodLife Fitness,,Monthly membership
2025-09-04,TIM HORTONS #8494,-9.70,debit,RBC Credit Card,Food,Tim Hortons,Milton,
2025-09-05,Monthly fee,-16.95,debit,RBC Debit,Services,RBC,,Account maintenance
2025-09-05,AFFIRM CANADA,-37.03,debit,RBC Debit,Services,Affirm,,Payment plan
2025-09-05,EXXONMOBIL 9736,-98.55,debit,Amex Credit Card,Gas,ExxonMobil,Port Byron,
2025-09-05,TST* RESTAURANTE AZTECA,-118.29,debit,Amex Credit Card,Food,Restaurante Azteca,Rutherford,
2025-09-05,ARBYS 5315,-9.79,debit,RBC Credit Card,Food,Arby's,Cortland NY,
2025-09-05,TIM HORTONS #8494,-3.98,debit,RBC Credit Card,Food,Tim Hortons,Milton,
2025-09-05,BURGER KING #31800,-4.13,debit,RBC Credit Card,Food,Burger King,West Henrietta NY,
2025-09-05,AG TRAVEL PLAZA 3603001,-5.04,debit,RBC Credit Card,Food,AG Travel Plaza,West Henrietta NY,
2025-09-05,Subway 1101,-8.56,debit,RBC Credit Card,Food,Subway,Cortland NY,
2025-09-06,MARSHALLS #1440,-286.41,debit,Amex Credit Card,Shopping,Marshalls,Edgewater,
2025-09-06,TJMAXX #0178,-127.60,debit,Amex Credit Card,Shopping,TJ Maxx,Edgewater,
2025-09-06,LINDA FOOD SERVICES LLC,-14.16,debit,RBC Credit Card,Food,Linda Food Services,North Bergen NJ,
2025-09-06,CVS/PHARMACY #08924,-17.94,debit,RBC Credit Card,Grocery,CVS Pharmacy,Edgewater NJ,
2025-09-07,TURKEY HILL 0215,-37.86,debit,Amex Credit Card,Shopping,Turkey Hill,Easton,
2025-09-07,TURKEY HILL 0215,-106.84,debit,Amex Credit Card,Shopping,Turkey Hill,Easton,
2025-09-07,284-DUTY FREE AMERI,-62.79,debit,RBC Credit Card,Entertainment,Duty Free Americas,Lewiston,
2025-09-07,STARBUCKS STORE 48349,-31.73,debit,RBC Credit Card,Food,Starbucks,Cortland NY,
2025-09-07,CHIPOTLE 4063,-44.55,debit,RBC Credit Card,Food,Chipotle,Batavia NY,
2025-09-08,WALMART.CA,-142.62,debit,Amex Credit Card,Grocery,Walmart,Online,
2025-09-08,WAL-MART SUPERCENTER#1000,-222.32,debit,RBC Credit Card,Grocery,Walmart,Milton,
2025-09-08,MCDONALD'S #40132,-7.33,debit,RBC Credit Card,Food,McDonald's,Milton,
2025-09-08,SILVER SPOON,-23.13,debit,RBC Credit Card,Food,Silver Spoon,Milton,
2025-09-08,HEALTHY PLANET MILTON,-67.79,debit,RBC Credit Card,Grocery,Healthy Planet,Milton,
2025-09-08,PETRO-CANADA 00446,-60.01,debit,RBC Credit Card,Gas,Petro-Canada,Milton,
2025-09-09,PETRO-CANADA 33899,-71.10,debit,RBC Credit Card,Gas,Petro-Canada,Milton,
2025-09-09,DOLLARAMA # 544,-17.18,debit,RBC Credit Card,Shopping,Dollarama,Milton,
2025-09-09,NEW THIARA SUPERMARKET,-71.24,debit,RBC Credit Card,Grocery,New Thiara Supermarket,Milton,
2025-09-09,LS INSTEP ACTIVEWEAR I,-67.80,debit,RBC Credit Card,Shopping,LS Instep Activewear,Milton,
2025-09-10,TST-Mandi Afandi MILTO,-13.55,debit,RBC Credit Card,Food,Mandi Afandi,Milton,
2025-09-10,AMAZON PRIME*GH82X6J53,-9.02,debit,RBC Credit Card,Services,Amazon Prime,,Subscription
2025-09-10,TIM HORTONS #0744,-5.52,debit,RBC Credit Card,Food,Tim Hortons,Brampton,
2025-09-11,TOKYO SMOKE CAMBRIDGE,-25.99,debit,RBC Credit Card,Entertainment,Tokyo Smoke,Cambridge,
2025-09-12,WALMART.CA,-93.31,debit,Amex Credit Card,Grocery,Walmart,Online,
2025-09-12,Halton District School Board,-31.00,debit,RBC Credit Card,Services,HDSB,,School fees
2025-09-12,AMZNFreeTime*TV0PK7HN3,-12.39,debit,RBC Credit Card,Services,Amazon FreeTime,,Kids subscription
2025-09-12,ONTARIO HEALTH,2463.07,credit,RBC Debit,Income,Ontario Health,,Salary
2025-09-13,SEPHORA MILTON,-93.79,debit,RBC Credit Card,Shopping,Sephora,Milton,
2025-09-14,NYC Trip Split,-449.50,debit,RBC Debit,Entertainment,,,Trip expense
2025-09-14,COBS Bread Willmott MP,-12.55,debit,RBC Credit Card,Grocery,COBS Bread,Milton,
2025-09-14,TOYOTA SUBSCRIPTION,-11.24,debit,RBC Credit Card,Services,Toyota,,Monthly subscription
2025-09-14,MCDONALD'S #40589,-13.53,debit,RBC Credit Card,Food,McDonald's,Milton,
2025-09-14,METRO 332,-77.91,debit,RBC Credit Card,Grocery,Metro,Milton,
2025-09-15,HWY407 ETR,-76.25,debit,RBC Debit,Services,407 ETR,,Toll charges
2025-09-15,TIM HORTONS #0744,-3.66,debit,RBC Credit Card,Food,Tim Hortons,Brampton,
2025-09-15,RCSS MILTON #2810,-125.16,debit,RBC Credit Card,Grocery,Real Canadian Superstore,Milton,
2025-09-15,TOYOTA SUBSCRIPTION,-11.24,debit,RBC Credit Card,Services,Toyota,,Monthly subscription
2025-09-15,IQ STORAGE CANA,4737.76,credit,RBC Debit,Income,IQ Storage Canada,,Business income
2025-09-16,OPENAI *CHATGPT SUBSCR,-30.08,debit,Amex Credit Card,Services,OpenAI,San Francisco,ChatGPT subscription
2025-09-17,GOODLIFE CLUBS,-31.63,debit,RBC Debit,Fitness,GoodLife Fitness,,Monthly membership
2025-09-17,INTEREST,-248.65,debit,Amex Credit Card,Interest,American Express,,Credit card interest
2025-09-17,MEMBERSHIP FEE INSTALLMENT,-12.99,debit,Amex Credit Card,Services,American Express,,Annual fee installment
2025-09-17,MCDONALD'S #40589,-2.30,debit,RBC Credit Card,Food,McDonald's,Milton,
2025-09-17,MCDONALD'S #40589,-6.77,debit,RBC Credit Card,Food,McDonald's,Milton,
2025-09-17,Halton District School Board,-26.75,debit,RBC Credit Card,Food,HDSB,,School lunch
2025-09-17,OAKVILLE PARKING,-62.00,debit,RBC Credit Card,Services,Oakville Parking,Oakville,
2025-09-18,WALMART.CA,-169.68,debit,Amex Credit Card,Grocery,Walmart,Online,
2025-09-18,FRESHCO #3894,-13.77,debit,RBC Credit Card,Grocery,FreshCo,Milton,
2025-09-18,ADR PET STORE,-20.55,debit,RBC Credit Card,Pet Care,ADR Pet Store,Milton,
2025-09-18,TST-GC Burger Milton,-24.38,debit,RBC Credit Card,Food,GC Burger,Milton,
2025-09-18,PURCHASE INTEREST,-309.41,debit,RBC Credit Card,Interest,RBC,,Credit card interest
2025-09-18,E-Z*PASSNY TOLLBYMAIL,-36.67,debit,RBC Credit Card,Services,E-ZPass NY,,Toll charges
2025-09-18,E-Z*PASSNYSTA VIOL,-75.96,debit,RBC Credit Card,Services,E-ZPass NY,,Toll violation
2025-09-19,Payroq,-144.19,debit,RBC Debit,Entertainment,Payroq,,
2025-09-19,THE ORIGINALS DINER,-17.95,debit,RBC Credit Card,Food,The Originals Diner,Milton,
2025-09-19,LA ROSE SPECIALTY FOODS,-31.51,debit,RBC Credit Card,Gift,La Rose Specialty Foods,Milton,
